Country,Region
Japan,East Asia,
Kazakhstan,Middle East,
North Korea,East Asia,
South Korea,East Asia,
Kyrgyzstan,Middle East,
Laos,Southeast Asia,
Macao,East Asia,
Malaysia,Southeast Asia,
Maldives,South Asia,
Mongolia,East Asia,
Myanmar,South Asia,
Nepal,South Asia,
Pakistan,South Asia,
Philippines,Southeast Asia,
Singapore,Southeast Asia,
Sri Lanka,South Asia,
Taiwan,East Asia,
Tajikistan,Middle East,
Thailand,Southeast Asia,
Timor Leste,Southeast Asia,
Turkmenistan,Middle East,
Uzbekistan,Middle East,
Vietnam,Southeast Asia,
Albania,Eastern Europe,
Andorra,Southern Europe,
Belarus,Eastern Europe,
Bosnia,Eastern Europe,
Croatia,Eastern Europe,
Faroe Islands,Northern Europe,
Gibraltar,Southern Europe,
Guerney and Alderney,British Isles,
Iceland,Northern Europe,
Jersey,British Isles,
Kosovo,Eastern Europe,
Liechtenstein,Western Europe,
Macedonia,Southern Europe,
Isle of Man,British Isles,
Moldova,Eastern Europe,
Monaco,Southern Europe,
Montenegro,Eastern Europe,
Norway,Northern Europe,
Russia,Eastern Europe,
San Marino,Southern Europe,
Serbia,Eastern Europe,
Svalbard and Jan Mayen Islands,Northern Europe,
Switzerland,Western Europe,
Turkey,Middle East,
Ukraine,Eastern Europe,
Vatican City State (Holy See),Southern Europe,
Austria,Western Europe,
Belgium,Western Europe,
Bulgaria,Eastern Europe,
Cyprus,Southern Europe,
Czech Republic,Eastern Europe,
Denmark,Northern Europe,
Estonia,Eastern Europe,
Finland,Northern Europe,
France,European Union,
Germany,Western Europe,
Greece,Southern Europe,
Hungary,Eastern Europe,
Ireland,British Isles,
Italy,Southern Europe,
Latvia,Eastern Europe,
Lithuania,Eastern Europe,
Luxembourg,Western Europe,
Malta,Southern Europe,
Netherlands,Western Europe,
Poland,Eastern Europe,
Portugal,Southern Europe,
Romania,Eastern Europe,
Slovakia,Eastern Europe,
Slovenia,Eastern Europe,
Spain,Southern Europe,
Sweden,Northern Europe,
UK,British Isles,
Bahrain,Middle East,
Iraq,Middle East,
Iran,Middle East,
Israel,Middle East,
Jordan,Middle East,
Kuwait,Middle East,
Lebanon,Middle East,
Oman,Middle East,
Palestine,Middle East,
Qatar,Middle East,
Saudi Arabia,Middle East,
Syria,Middle East,
United Arab Emirates,Middle East,
Yemen,Middle East,
Australia,Oceania,
Fiji,Oceania,
French Polynesia,Oceania,
Guam,Oceania,
Kiribati,Oceania,
Marshall Islands,Oceania,
federated states of micronesia,Oceania,
New Caledonia,Oceania,
New Zealand,Oceania,
Papua New Guinea,Oceania,
Samoa,Oceania,
American Samoa,Oceania,
Solomon Islands,Oceania,
Tonga,Oceania,
Vanuatu,Oceania,
bosnia and herzegovina,Eastern Europe,
